system,user
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Thousand Oaks'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Five Points'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'El Centro'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Simi Valley'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Vista'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Hanford'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Middletown'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'La Crescenta'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Lancaster'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Encino'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Agua Dulce'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Los Angeles'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Castaic'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Acton'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Anaheim'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'San Juan Capistrano'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Jurupa Valley'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {City} is the safest place to live?

Document 1:
 {'City': 'Dunlap'}
Document 2:
 {'City': 'Riverside'}"
