system,user
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Mercedes'}
Document 2:
 {'name': 'Red Bull'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Mercedes'}
Document 2:
 {'name': 'Ferrari'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Mercedes'}
Document 2:
 {'name': 'Williams'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Mercedes'}
Document 2:
 {'name': 'Force India'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Red Bull'}
Document 2:
 {'name': 'Ferrari'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Red Bull'}
Document 2:
 {'name': 'Williams'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Red Bull'}
Document 2:
 {'name': 'Force India'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Ferrari'}
Document 2:
 {'name': 'Williams'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Ferrari'}
Document 2:
 {'name': 'Force India'}"
"Your job is to to select and return the most relevant document to the user's question.
Carefully read the user's question and the two documents provided below.
Respond only with the label of the document such as ""Document NUMBER"".
NUMBER must be either 1 or 2, depending on which document is most relevant.
You must pick a number and cannot say things like ""None"" or ""Neither""","Question: What {name} is most prestigious?

Document 1:
 {'name': 'Williams'}
Document 2:
 {'name': 'Force India'}"
